pic1;pic2;score
41dTWz5u3OL._SX395_.jpg;516EJv4m1XL._SY300_.jpg;0
41JvUmCiEoL._SX395_.jpg;41B8Xw-YyUL._SX300_.jpg;0
41wRSnJ-qOL._SY445_.jpg;41i1viWuSKL._SX342_.jpg;0
31vnEoTtr0L._SY445_.jpg;41Y459ZO9GL._SY445_.jpg;1
41Jh1oxfyEL._SY395_.jpg;41QEtd5wQUL._SX342_.jpg;0
41yb0eMhu4L._SY395_.jpg;41vByVkLtZL._SY300_.jpg;0
41lptYdk5YL._SY300_.jpg;51avx1gB1kL._SY300_.jpg;0
41q43-qJqnL._SX300_.jpg;41Mops3Ic0L._SY395_.jpg;0
41BGxZziY3L._SY395_.jpg;51aOIRkj5TL._SY300_.jpg;0
41WfzyZnDnL._SY445_.jpg;31QKyA2CN9L._SX342_.jpg;0
51Xl6C0N2uL._SX395_.jpg;41jE6X-la6L._SX342_.jpg;0
41IZtJ8ZR%2BL._SY445_.jpg;41UEdjAOHiL._SY445_.jpg;0
41eLhswK2jL._SY395_.jpg;51va61OUWtL._SY445_.jpg;0
41I2NluyzGL._SX342_.jpg;41V1l61ahKL._SY445_.jpg;0
51vsRYz-AsL._SY300_.jpg;414kCadC6%2BL._SX342_.jpg;0
51IKVUNK7OL._SX342_.jpg;51BTlKQBQmL._SY395_.jpg;0
415esYUTfjL._SX342_.jpg;416r1OSTm-L._SY395_.jpg;0
31Lf-gfSW5L._SY395_.jpg;41zAyo9ADSL._SY395_.jpg;0
51bjDzitJEL._SX342_.jpg;31ztcScP%2BwL.jpg;0
41swP5HUBaL._SX342_.jpg;41RZHNhipaL._SX395_.jpg;0
51u7YuiF5qL._SX342_.jpg;31lblVV%2BpCL._SX342_.jpg;0
41v%2B706hBxL._SY300_.jpg;41st3yt3OtL._SX342_.jpg;0
3155DNFtIPL._SX342_.jpg;41uOQ765ihL._SX395_.jpg;0
51Xgw5HtYrL._SX395_.jpg;41QIEzKRBSL._SX342_.jpg;1
