model #;model name;trloss;val loss;epoch
1;dense64_relu;664;476;1
1;dense64_relu;273;452;2
1;dense64_relu;158;448;3
1;dense64_relu;107;438;4
1;dense64_relu;78;441;5
1;dense64_relu;62;460;6
1;dense64_relu;52;482;7
2;dense64_relu_e-5;687;461;1
2;dense64_relu_e-5;313;434;2
2;dense64_relu_e-5;212;422;3
2;dense64_relu_e-5;168;432;4
2;dense64_relu_e-5;148;412;5
2;dense64_relu_e-5;131;406;6
2;dense64_relu_e-5;122;418;7
2;dense64_relu_e-5;113;412;8
2;dense64_relu_e-5;110;411;9
2;dense64_relu_e-5;103;410;10
2;dense64_relu_e-5;98;408;11
2;dense64_relu_e-5;95;416;12
2;dense64_relu_e-5;92;407;13
2;dense64_relu_e-5;90;407;14
2;dense64_relu_e-5;89;407;15
2;dense64_relu_e-5;87;412;16
3;dense64_relu_e-4;818;480;1
3;dense64_relu_e-4;469;440;2
3;dense64_relu_e-4;401;448;3
3;dense64_relu_e-4;371;415;4
3;dense64_relu_e-4;349;423;5
3;dense64_relu_e-4;335;419;6
3;dense64_relu_e-4;325;416;7
3;dense64_relu_e-4;321;415;8
3;dense64_relu_e-4;314;410;9
3;dense64_relu_e-4;312;409;10
3;dense64_relu_e-4;310;419;11
3;dense64_relu_e-4;308;411;12
3;dense64_relu_e-4;311;401;13
3;dense64_relu_e-4;306;416;14
3;dense64_relu_e-4;303;409;15
3;dense64_relu_e-4;305;407;16
3;dense64_relu_e-4;305;403;17
3;dense64_relu_e-4;301;407;18
3;dense64_relu_e-4;300;405;19
3;dense64_relu_e-4;298;414;20
3;dense64_relu_e-4;296;409;21
3;dense64_relu_e-4;296;405;22
3;dense64_relu_e-4;296;411;23
4;dense128_relu;622;469;1
4;dense128_relu;267;453;2
4;dense128_relu;161;452;3
4;dense128_relu;106;450;4
4;dense128_relu;77;492;5
4;dense128_relu;61;508;6
4;dense128_relu;48;538;7
4;dense128_relu;39;559;8
4;dense128_relu;33;566;9
4;dense128_relu;29;603;10
5;dense128_relu_e-6;629;470;1
5;dense128_relu_e-6;281;448;2
5;dense128_relu_e-6;173;426;3
5;dense128_relu_e-6;120;422;4
5;dense128_relu_e-6;92;427;5
5;dense128_relu_e-6;77;429;6
5;dense128_relu_e-6;66;440;7
5;dense128_relu_e-6;60;440;8
5;dense128_relu_e-6;54;433;9
5;dense128_relu_e-6;50;442;10
6;dense128_relu_e-5;666;473;1
6;dense128_relu_e-5;326;448;2
6;dense128_relu_e-5;227;443;3
6;dense128_relu_e-5;180;421;4
6;dense128_relu_e-5;151;420;5
6;dense128_relu_e-5;134;405;6
6;dense128_relu_e-5;122;410;7
6;dense128_relu_e-5;111;417;8
6;dense128_relu_e-5;102;410;9
6;dense128_relu_e-5;97;409;10
7;dense128_relu_5e-5;775;508;1
7;dense128_relu_5e-5;441;466;2
7;dense128_relu_5e-5;343;437;3
7;dense128_relu_5e-5;295;415;4
7;dense128_relu_5e-5;275;415;5
7;dense128_relu_5e-5;252;417;6
7;dense128_relu_5e-5;239;409;7
7;dense128_relu_5e-5;232;407;8
7;dense128_relu_5e-5;228;416;9
7;dense128_relu_5e-5;223;402;10
7;dense128_relu_5e-5;222;400;11
7;dense128_relu_5e-5;218;408;12
7;dense128_relu_5e-5;214;401;13
7;dense128_relu_5e-5;210;413;14
7;dense128_relu_5e-5;209;398;15
7;dense128_relu_5e-5;205;400;16
7;dense128_relu_5e-5;203;403;17
8;dense128_relu_e-4;862;478;1
8;dense128_relu_e-4;516;453;2
8;dense128_relu_e-4;429;438;3
8;dense128_relu_e-4;389;435;4
8;dense128_relu_e-4;367;422;5
8;dense128_relu_e-4;351;421;6
8;dense128_relu_e-4;339;419;7
8;dense128_relu_e-4;331;410;8
8;dense128_relu_e-4;326;412;9
8;dense128_relu_e-4;322;412;10
8;dense128_relu_e-4;319;414;11
8;dense128_relu_e-4;316;406;12
8;dense128_relu_e-4;312;412;13
8;dense128_relu_e-4;312;408;14
8;dense128_relu_e-4;310;409;15
9;dense128_relu_1.25e-4;886;462;1
9;dense128_relu_1.25e-4;546;439;2
9;dense128_relu_1.25e-4;463;444;3
9;dense128_relu_1.25e-4;430;431;4
9;dense128_relu_1.25e-4;408;422;5
9;dense128_relu_1.25e-4;393;425;6
9;dense128_relu_1.25e-4;386;420;7
9;dense128_relu_1.25e-4;375;418;8
9;dense128_relu_1.25e-4;363;419;9
9;dense128_relu_1.25e-4;362;421;10
9;dense128_relu_1.25e-4;361;424;11
9;dense128_relu_1.25e-4;353;417;12
9;dense128_relu_1.25e-4;354;413;13
9;dense128_relu_1.25e-4;349;414;14
9;dense128_relu_1.25e-4;345;412;15
9;dense128_relu_1.25e-4;343;412;16
9;dense128_relu_1.25e-4;344;416;17
9;dense128_relu_1.25e-4;342;411;18
9;dense128_relu_1.25e-4;342;417;19
9;dense128_relu_1.25e-4;342;411;20
9;dense128_relu_1.25e-4;341;411;21
9;dense128_relu_1.25e-4;338;413;22
9;dense128_relu_1.25e-4;336;412;23
9;dense128_relu_1.25e-4;336;414;24
9;dense128_relu_1.25e-4;338;416;25
9;dense128_relu_1.25e-4;334;411;26
9;dense128_relu_1.25e-4;335;413;27
9;dense128_relu_1.25e-4;334;414;28
9;dense128_relu_1.25e-4;334;408;29
9;dense128_relu_1.25e-4;335;411;30
9;dense128_relu_1.25e-4;333;406;31
9;dense128_relu_1.25e-4;333;416;32
9;dense128_relu_1.25e-4;333;411;33
9;dense128_relu_1.25e-4;331;410;34
9;dense128_relu_1.25e-4;334;406;35
9;dense128_relu_1.25e-4;331;420;36
9;dense128_relu_1.25e-4;331;403;37
9;dense128_relu_1.25e-4;331;410;38
9;dense128_relu_1.25e-4;331;416;39
9;dense128_relu_1.25e-4;328;413;40
9;dense128_relu_1.25e-4;328;411;41
9;dense128_relu_1.25e-4;327;409;42
9;dense128_relu_1.25e-4;328;404;43
9;dense128_relu_1.25e-4;324;413;44
9;dense128_relu_1.25e-4;329;409;45
9;dense128_relu_1.25e-4;329;407;46
9;dense128_relu_1.25e-4;327;404;47
9;dense128_relu_1.25e-4;327;408;48
9;dense128_relu_1.25e-4;326;408;49
9;dense128_relu_1.25e-4;329;409;50
9;dense128_relu_1.25e-4;325;404;51
9;dense128_relu_1.25e-4;327;405;52
9;dense128_relu_1.25e-4;326;413;53
9;dense128_relu_1.25e-4;327;407;54
9;dense128_relu_1.25e-4;327;405;55
9;dense128_relu_1.25e-4;326;412;56
9;dense128_relu_1.25e-4;327;407;57
10;dense128_relu_1.5e-4;920;481;1
10;dense128_relu_1.5e-4;569;456;2
10;dense128_relu_1.5e-4;491;445;3
10;dense128_relu_1.5e-4;458;438;4
10;dense128_relu_1.5e-4;437;430;5
10;dense128_relu_1.5e-4;426;427;6
10;dense128_relu_1.5e-4;414;422;7
10;dense128_relu_1.5e-4;408;427;8
10;dense128_relu_1.5e-4;404;413;9
10;dense128_relu_1.5e-4;400;416;10
10;dense128_relu_1.5e-4;396;429;11
10;dense128_relu_1.5e-4;394;418;12
10;dense128_relu_1.5e-4;391;420;13
10;dense128_relu_1.5e-4;384;422;14
10;dense128_relu_1.5e-4;381;422;15
11;dense128_relu_2e-4;973;478;1
11;dense128_relu_2e-4;616;461;2
11;dense128_relu_2e-4;548;459;3
